indentation_point,cavity_type,depth_meas_mm,depth_base_mm
+X_center,M0,0.65,0.65
-X_center,M0,0.65,0.65
+Y_center,M0,0.65,0.65
-Y_center,M0,0.65,0.65
+Z_center,M0,0.65,0.65
-Z_center,M0,0.65,0.65
+X+Y_edge,M0,0.65,0.65
-X+Y_edge,M0,0.65,0.65
+X-Y_edge,M0,0.65,0.65
-X-Y_edge,M0,0.65,0.65
+X+Z_edge,M0,0.65,0.65
-X+Z_edge,M0,0.65,0.65
+X-Z_edge,M0,0.65,0.65
-X-Z_edge,M0,0.65,0.65
+Y+X_edge,M0,0.65,0.65
-Y+X_edge,M0,0.65,0.65
+Y-X_edge,M0,0.65,0.65
-Y-X_edge,M0,0.65,0.65
+Y+Z_edge,M0,0.65,0.65
-Y+Z_edge,M0,0.65,0.65
+Y-Z_edge,M0,0.65,0.65
-Y-Z_edge,M0,0.65,0.65
+Z+X_edge,M0,0.65,0.65
-Z+X_edge,M0,0.65,0.65
+Z-X_edge,M0,0.65,0.65
-Z-X_edge,M0,0.65,0.65
+Z+Y_edge,M0,0.65,0.65
-Z+Y_edge,M0,0.65,0.65
+Z-Y_edge,M0,0.65,0.65
-Z-Y_edge,M0,0.65,0.65
+X+Y_off,M0,0.65,0.65
-X+Y_off,M0,0.65,0.65
+X-Y_off,M0,0.65,0.65
-X-Y_off,M0,0.65,0.65
+X+Z_off,M0,0.65,0.65
-X+Z_off,M0,0.65,0.65
+X-Z_off,M0,0.65,0.65
-X-Z_off,M0,0.65,0.65
+Y+X_off,M0,0.65,0.65
-Y+X_off,M0,0.65,0.65
+Y-X_off,M0,0.65,0.65
-Y-X_off,M0,0.65,0.65
+Y+Z_off,M0,0.65,0.65
-Y+Z_off,M0,0.65,0.65
+Y-Z_off,M0,0.65,0.65
-Y-Z_off,M0,0.65,0.65
+Z+X_off,M0,0.65,0.65
-Z+X_off,M0,0.65,0.65
+Z-X_off,M0,0.65,0.65
-Z-X_off,M0,0.65,0.65
+Z+Y_off,M0,0.65,0.65
-Z+Y_off,M0,0.65,0.65
+Z-Y_off,M0,0.65,0.65
-Z-Y_off,M0,0.65,0.65
+X_center,M1,1.0,0.65
-X_center,M1,1.0,0.65
+Y_center,M1,1.0,0.65
-Y_center,M1,1.0,0.65
+Z_center,M1,1.0,0.65
-Z_center,M1,1.0,0.65
+X+Y_edge,M1,0.825,0.65
-X+Y_edge,M1,0.825,0.65
+X-Y_edge,M1,0.825,0.65
-X-Y_edge,M1,0.825,0.65
+X+Z_edge,M1,0.825,0.65
-X+Z_edge,M1,0.825,0.65
+X-Z_edge,M1,0.825,0.65
-X-Z_edge,M1,0.825,0.65
+Y+X_edge,M1,0.825,0.65
-Y+X_edge,M1,0.825,0.65
+Y-X_edge,M1,0.825,0.65
-Y-X_edge,M1,0.825,0.65
+Y+Z_edge,M1,0.825,0.65
-Y+Z_edge,M1,0.825,0.65
+Y-Z_edge,M1,0.825,0.65
-Y-Z_edge,M1,0.825,0.65
+Z+X_edge,M1,0.825,0.65
-Z+X_edge,M1,0.825,0.65
+Z-X_edge,M1,0.825,0.65
-Z-X_edge,M1,0.825,0.65
+Z+Y_edge,M1,0.825,0.65
-Z+Y_edge,M1,0.825,0.65
+Z-Y_edge,M1,0.825,0.65
-Z-Y_edge,M1,0.825,0.65
+X+Y_off,M1,0.93,0.65
-X+Y_off,M1,0.93,0.65
+X-Y_off,M1,0.93,0.65
-X-Y_off,M1,0.93,0.65
+X+Z_off,M1,0.93,0.65
-X+Z_off,M1,0.93,0.65
+X-Z_off,M1,0.93,0.65
-X-Z_off,M1,0.93,0.65
+Y+X_off,M1,0.93,0.65
-Y+X_off,M1,0.93,0.65
+Y-X_off,M1,0.93,0.65
-Y-X_off,M1,0.93,0.65
+Y+Z_off,M1,0.93,0.65
-Y+Z_off,M1,0.93,0.65
+Y-Z_off,M1,0.93,0.65
-Y-Z_off,M1,0.93,0.65
+Z+X_off,M1,0.93,0.65
-Z+X_off,M1,0.93,0.65
+Z-X_off,M1,0.93,0.65
-Z-X_off,M1,0.93,0.65
+Z+Y_off,M1,0.93,0.65
-Z+Y_off,M1,0.93,0.65
+Z-Y_off,M1,0.93,0.65
-Z-Y_off,M1,0.93,0.65
+X_center,M2R,2.29,0.65
-X_center,M2R,2.29,0.65
+Y_center,M2R,1.75,0.65
-Y_center,M2R,1.75,0.65
+Z_center,M2R,2.29,0.65
-Z_center,M2R,2.29,0.65
+X+Y_edge,M2R,1.15,0.65
-X+Y_edge,M2R,1.15,0.65
+X-Y_edge,M2R,1.15,0.65
-X-Y_edge,M2R,1.15,0.65
+X+Z_edge,M2R,1.56,0.65
-X+Z_edge,M2R,1.56,0.65
+X-Z_edge,M2R,1.56,0.65
-X-Z_edge,M2R,1.56,0.65
+Y+X_edge,M2R,1.245,0.65
-Y+X_edge,M2R,1.245,0.65
+Y-X_edge,M2R,1.245,0.65
-Y-X_edge,M2R,1.245,0.65
+Y+Z_edge,M2R,1.245,0.65
