indentation_point,cavity_type,depth_meas_mm,depth_base_mm
-Y+Z_edge,M2R,1.245,0.65
+Y-Z_edge,M2R,1.245,0.65
-Y-Z_edge,M2R,1.245,0.65
+Z+X_edge,M2R,1.56,0.65
-Z+X_edge,M2R,1.56,0.65
+Z-X_edge,M2R,1.56,0.65
-Z-X_edge,M2R,1.56,0.65
+Z+Y_edge,M2R,1.15,0.65
-Z+Y_edge,M2R,1.15,0.65
+Z-Y_edge,M2R,1.15,0.65
-Z-Y_edge,M2R,1.15,0.65
+X+Y_off,M2R,1.715,0.65
-X+Y_off,M2R,1.715,0.65
+X-Y_off,M2R,1.715,0.65
-X-Y_off,M2R,1.715,0.65
+X+Z_off,M2R,1.825,0.65
-X+Z_off,M2R,1.825,0.65
+X-Z_off,M2R,1.825,0.65
-X-Z_off,M2R,1.825,0.65
+Y+X_off,M2R,1.675,0.65
-Y+X_off,M2R,1.675,0.65
+Y-X_off,M2R,1.675,0.65
-Y-X_off,M2R,1.675,0.65
+Y+Z_off,M2R,1.675,0.65
-Y+Z_off,M2R,1.675,0.65
+Y-Z_off,M2R,1.675,0.65
-Y-Z_off,M2R,1.675,0.65
+Z+X_off,M2R,1.825,0.65
-Z+X_off,M2R,1.825,0.65
+Z-X_off,M2R,1.825,0.65
-Z-X_off,M2R,1.825,0.65
+Z+Y_off,M2R,1.715,0.65
-Z+Y_off,M2R,1.715,0.65
+Z-Y_off,M2R,1.715,0.65
-Z-Y_off,M2R,1.715,0.65
+X_center,M2S,3.18,0.65
-X_center,M2S,3.18,0.65
+Y_center,M2S,3.18,0.65
-Y_center,M2S,3.18,0.65
+Z_center,M2S,3.18,0.65
-Z_center,M2S,3.18,0.65
+X+Y_edge,M2S,2.08,0.65
-X+Y_edge,M2S,2.08,0.65
+X-Y_edge,M2S,2.08,0.65
-X-Y_edge,M2S,2.08,0.65
+X+Z_edge,M2S,2.08,0.65
-X+Z_edge,M2S,2.08,0.65
+X-Z_edge,M2S,2.08,0.65
-X-Z_edge,M2S,2.08,0.65
+Y+X_edge,M2S,2.08,0.65
-Y+X_edge,M2S,2.08,0.65
+Y-X_edge,M2S,2.08,0.65
-Y-X_edge,M2S,2.08,0.65
+Y+Z_edge,M2S,2.08,0.65
-Y+Z_edge,M2S,2.08,0.65
+Y-Z_edge,M2S,2.08,0.65
-Y-Z_edge,M2S,2.08,0.65
+Z+X_edge,M2S,2.08,0.65
-Z+X_edge,M2S,2.08,0.65
+Z-X_edge,M2S,2.08,0.65
-Z-X_edge,M2S,2.08,0.65
+Z+Y_edge,M2S,2.08,0.65
-Z+Y_edge,M2S,2.08,0.65
+Z-Y_edge,M2S,2.08,0.65
-Z-Y_edge,M2S,2.08,0.65
+X+Y_off,M2S,2.6,0.65
-X+Y_off,M2S,2.6,0.65
+X-Y_off,M2S,2.6,0.65
-X-Y_off,M2S,2.6,0.65
+X+Z_off,M2S,2.6,0.65
-X+Z_off,M2S,2.6,0.65
+X-Z_off,M2S,2.6,0.65
-X-Z_off,M2S,2.6,0.65
+Y+X_off,M2S,2.6,0.65
-Y+X_off,M2S,2.6,0.65
+Y-X_off,M2S,2.6,0.65
-Y-X_off,M2S,2.6,0.65
+Y+Z_off,M2S,2.6,0.65
-Y+Z_off,M2S,2.6,0.65
+Y-Z_off,M2S,2.6,0.65
-Y-Z_off,M2S,2.6,0.65
+Z+X_off,M2S,2.6,0.65
-Z+X_off,M2S,2.6,0.65
+Z-X_off,M2S,2.6,0.65
-Z-X_off,M2S,2.6,0.65
+Z+Y_off,M2S,2.6,0.65
-Z+Y_off,M2S,2.6,0.65
+Z-Y_off,M2S,2.6,0.65
-Z-Y_off,M2S,2.6,0.65
+X_center,M3,0.825,0.65
-X_center,M3,0.825,0.65
+Y_center,M3,1.06,0.65
-Y_center,M3,1.71,0.65
+Z_center,M3,0.825,0.65
-Z_center,M3,0.825,0.65
+X+Y_edge,M3,0.72,0.65
-X+Y_edge,M3,0.72,0.65
+X-Y_edge,M3,0.965,0.65
-X-Y_edge,M3,0.965,0.65
+X+Z_edge,M3,0.825,0.65
-X+Z_edge,M3,0.825,0.65
+X-Z_edge,M3,0.825,0.65
-X-Z_edge,M3,0.825,0.65
+Y+X_edge,M3,1.05,0.65
-Y+X_edge,M3,1.67,0.65
+Y-X_edge,M3,1.05,0.65
-Y-X_edge,M3,1.67,0.65
+Y+Z_edge,M3,1.05,0.65
-Y+Z_edge,M3,1.67,0.65
+Y-Z_edge,M3,1.05,0.65
-Y-Z_edge,M3,1.67,0.65
+Z+X_edge,M3,0.825,0.65
-Z+X_edge,M3,0.825,0.65
+Z-X_edge,M3,0.825,0.65
-Z-X_edge,M3,0.825,0.65
+Z+Y_edge,M3,0.72,0.65
-Z+Y_edge,M3,0.72,0.65
+Z-Y_edge,M3,0.965,0.65
-Z-Y_edge,M3,0.965,0.65
+X+Y_off,M3,0.825,0.65
-X+Y_off,M3,0.825,0.65
+X-Y_off,M3,1.245,0.65
-X-Y_off,M3,1.245,0.65
+X+Z_off,M3,0.825,0.65
-X+Z_off,M3,0.825,0.65
+X-Z_off,M3,0.825,0.65
-X-Z_off,M3,0.825,0.65
+Y+X_off,M3,0.95,0.65
-Y+X_off,M3,1.54,0.65
+Y-X_off,M3,0.95,0.65
-Y-X_off,M3,1.54,0.65
+Y+Z_off,M3,0.95,0.65
-Y+Z_off,M3,1.54,0.65
+Y-Z_off,M3,0.95,0.65
-Y-Z_off,M3,1.54,0.65
+Z+X_off,M3,0.825,0.65
-Z+X_off,M3,0.825,0.65
+Z-X_off,M3,0.825,0.65
-Z-X_off,M3,0.825,0.65
+Z+Y_off,M3,0.825,0.65
-Z+Y_off,M3,0.825,0.65
+Z-Y_off,M3,1.245,0.65
-Z-Y_off,M3,1.245,0.65
