indentation_point,cavity_type,indentation_set,force_meas_N,force_base_N
-Z_center,M2S,center,2.39,5.555
+X+Y_edge,M2S,center,,
-X+Y_edge,M2S,center,,
+X-Y_edge,M2S,center,,
-X-Y_edge,M2S,center,,
+X+Z_edge,M2S,center,,
-X+Z_edge,M2S,center,,
+X-Z_edge,M2S,center,,
-X-Z_edge,M2S,center,,
+Y+X_edge,M2S,center,,
-Y+X_edge,M2S,center,,
+Y-X_edge,M2S,center,,
-Y-X_edge,M2S,center,,
+Y+Z_edge,M2S,center,,
-Y+Z_edge,M2S,center,,
+Y-Z_edge,M2S,center,,
-Y-Z_edge,M2S,center,,
+Z+X_edge,M2S,center,,
-Z+X_edge,M2S,center,,
+Z-X_edge,M2S,center,,
-Z-X_edge,M2S,center,,
+Z+Y_edge,M2S,center,,
-Z+Y_edge,M2S,center,,
+Z-Y_edge,M2S,center,,
-Z-Y_edge,M2S,center,,
+X+Y_off,M2S,center,,
-X+Y_off,M2S,center,,
+X-Y_off,M2S,center,,
-X-Y_off,M2S,center,,
+X+Z_off,M2S,center,,
-X+Z_off,M2S,center,,
+X-Z_off,M2S,center,,
-X-Z_off,M2S,center,,
+Y+X_off,M2S,center,,
-Y+X_off,M2S,center,,
+Y-X_off,M2S,center,,
-Y-X_off,M2S,center,,
+Y+Z_off,M2S,center,,
-Y+Z_off,M2S,center,,
+Y-Z_off,M2S,center,,
-Y-Z_off,M2S,center,,
+Z+X_off,M2S,center,,
-Z+X_off,M2S,center,,
+Z-X_off,M2S,center,,
-Z-X_off,M2S,center,,
+Z+Y_off,M2S,center,,
-Z+Y_off,M2S,center,,
+Z-Y_off,M2S,center,,
-Z-Y_off,M2S,center,,
+X_center,M3,center,8.36,5.555
-X_center,M3,center,8.36,5.555
+Y_center,M3,center,8.585,5.555
-Y_center,M3,center,8.585,5.555
+Z_center,M3,center,8.36,5.555
-Z_center,M3,center,8.36,5.555
+X+Y_edge,M3,center,,
-X+Y_edge,M3,center,,
+X-Y_edge,M3,center,,
-X-Y_edge,M3,center,,
+X+Z_edge,M3,center,,
-X+Z_edge,M3,center,,
+X-Z_edge,M3,center,,
-X-Z_edge,M3,center,,
+Y+X_edge,M3,center,,
-Y+X_edge,M3,center,,
+Y-X_edge,M3,center,,
-Y-X_edge,M3,center,,
+Y+Z_edge,M3,center,,
-Y+Z_edge,M3,center,,
+Y-Z_edge,M3,center,,
-Y-Z_edge,M3,center,,
+Z+X_edge,M3,center,,
-Z+X_edge,M3,center,,
+Z-X_edge,M3,center,,
-Z-X_edge,M3,center,,
+Z+Y_edge,M3,center,,
-Z+Y_edge,M3,center,,
+Z-Y_edge,M3,center,,
-Z-Y_edge,M3,center,,
+X+Y_off,M3,center,,
-X+Y_off,M3,center,,
+X-Y_off,M3,center,,
-X-Y_off,M3,center,,
+X+Z_off,M3,center,,
-X+Z_off,M3,center,,
+X-Z_off,M3,center,,
-X-Z_off,M3,center,,
+Y+X_off,M3,center,,
-Y+X_off,M3,center,,
+Y-X_off,M3,center,,
-Y-X_off,M3,center,,
+Y+Z_off,M3,center,,
-Y+Z_off,M3,center,,
+Y-Z_off,M3,center,,
-Y-Z_off,M3,center,,
+Z+X_off,M3,center,,
-Z+X_off,M3,center,,
+Z-X_off,M3,center,,
-Z-X_off,M3,center,,
+Z+Y_off,M3,center,,
-Z+Y_off,M3,center,,
+Z-Y_off,M3,center,,
-Z-Y_off,M3,center,,
+X_center,M0,center_edge,5.555,5.555
-X_center,M0,center_edge,5.555,5.555
+Y_center,M0,center_edge,5.555,5.555
-Y_center,M0,center_edge,5.555,5.555
+Z_center,M0,center_edge,5.555,5.555
-Z_center,M0,center_edge,5.555,5.555
+X+Y_edge,M0,center_edge,5.91,5.91
-X+Y_edge,M0,center_edge,5.91,5.91
+X-Y_edge,M0,center_edge,5.91,5.91
-X-Y_edge,M0,center_edge,5.91,5.91
+X+Z_edge,M0,center_edge,5.91,5.91
-X+Z_edge,M0,center_edge,5.91,5.91
+X-Z_edge,M0,center_edge,5.91,5.91
-X-Z_edge,M0,center_edge,5.91,5.91
+Y+X_edge,M0,center_edge,5.91,5.91
-Y+X_edge,M0,center_edge,5.91,5.91
+Y-X_edge,M0,center_edge,5.91,5.91
-Y-X_edge,M0,center_edge,5.91,5.91
+Y+Z_edge,M0,center_edge,5.91,5.91
-Y+Z_edge,M0,center_edge,5.91,5.91
+Y-Z_edge,M0,center_edge,5.91,5.91
-Y-Z_edge,M0,center_edge,5.91,5.91
+Z+X_edge,M0,center_edge,5.91,5.91
-Z+X_edge,M0,center_edge,5.91,5.91
+Z-X_edge,M0,center_edge,5.91,5.91
-Z-X_edge,M0,center_edge,5.91,5.91
+Z+Y_edge,M0,center_edge,5.91,5.91
-Z+Y_edge,M0,center_edge,5.91,5.91
+Z-Y_edge,M0,center_edge,5.91,5.91
-Z-Y_edge,M0,center_edge,5.91,5.91
+X+Y_off,M0,center_edge,,
-X+Y_off,M0,center_edge,,
+X-Y_off,M0,center_edge,,
-X-Y_off,M0,center_edge,,
+X+Z_off,M0,center_edge,,
-X+Z_off,M0,center_edge,,
+X-Z_off,M0,center_edge,,
-X-Z_off,M0,center_edge,,
+Y+X_off,M0,center_edge,,
-Y+X_off,M0,center_edge,,
+Y-X_off,M0,center_edge,,
-Y-X_off,M0,center_edge,,
+Y+Z_off,M0,center_edge,,
-Y+Z_off,M0,center_edge,,
+Y-Z_off,M0,center_edge,,
-Y-Z_off,M0,center_edge,,
+Z+X_off,M0,center_edge,,
-Z+X_off,M0,center_edge,,
+Z-X_off,M0,center_edge,,
-Z-X_off,M0,center_edge,,
+Z+Y_off,M0,center_edge,,
-Z+Y_off,M0,center_edge,,
+Z-Y_off,M0,center_edge,,
-Z-Y_off,M0,center_edge,,
+X_center,M1,center_edge,5.685,5.555
-X_center,M1,center_edge,5.685,5.555
+Y_center,M1,center_edge,5.685,5.555
-Y_center,M1,center_edge,5.685,5.555
+Z_center,M1,center_edge,5.685,5.555
-Z_center,M1,center_edge,5.685,5.555
+X+Y_edge,M1,center_edge,5.43,5.91
-X+Y_edge,M1,center_edge,5.43,5.91
+X-Y_edge,M1,center_edge,5.43,5.91
-X-Y_edge,M1,center_edge,5.43,5.91
+X+Z_edge,M1,center_edge,5.43,5.91
-X+Z_edge,M1,center_edge,5.43,5.91
+X-Z_edge,M1,center_edge,5.43,5.91
-X-Z_edge,M1,center_edge,5.43,5.91
+Y+X_edge,M1,center_edge,5.43,5.91
-Y+X_edge,M1,center_edge,5.43,5.91
+Y-X_edge,M1,center_edge,5.43,5.91
-Y-X_edge,M1,center_edge,5.43,5.91
+Y+Z_edge,M1,center_edge,5.43,5.91
-Y+Z_edge,M1,center_edge,5.43,5.91
+Y-Z_edge,M1,center_edge,5.43,5.91
-Y-Z_edge,M1,center_edge,5.43,5.91
+Z+X_edge,M1,center_edge,5.43,5.91
-Z+X_edge,M1,center_edge,5.43,5.91
+Z-X_edge,M1,center_edge,5.43,5.91
-Z-X_edge,M1,center_edge,5.43,5.91
+Z+Y_edge,M1,center_edge,5.43,5.91
-Z+Y_edge,M1,center_edge,5.43,5.91
+Z-Y_edge,M1,center_edge,5.43,5.91
-Z-Y_edge,M1,center_edge,5.43,5.91
+X+Y_off,M1,center_edge,,
-X+Y_off,M1,center_edge,,
+X-Y_off,M1,center_edge,,
-X-Y_off,M1,center_edge,,
+X+Z_off,M1,center_edge,,
-X+Z_off,M1,center_edge,,
+X-Z_off,M1,center_edge,,
-X-Z_off,M1,center_edge,,
+Y+X_off,M1,center_edge,,
-Y+X_off,M1,center_edge,,
+Y-X_off,M1,center_edge,,
-Y-X_off,M1,center_edge,,
+Y+Z_off,M1,center_edge,,
-Y+Z_off,M1,center_edge,,
+Y-Z_off,M1,center_edge,,
-Y-Z_off,M1,center_edge,,
+Z+X_off,M1,center_edge,,
-Z+X_off,M1,center_edge,,
+Z-X_off,M1,center_edge,,
-Z-X_off,M1,center_edge,,
+Z+Y_off,M1,center_edge,,
-Z+Y_off,M1,center_edge,,
+Z-Y_off,M1,center_edge,,
-Z-Y_off,M1,center_edge,,
+X_center,M2R,center_edge,4.72,5.555
-X_center,M2R,center_edge,4.72,5.555
+Y_center,M2R,center_edge,3.63,5.555
-Y_center,M2R,center_edge,3.63,5.555
+Z_center,M2R,center_edge,4.72,5.555
-Z_center,M2R,center_edge,4.72,5.555
+X+Y_edge,M2R,center_edge,4.395,5.91
-X+Y_edge,M2R,center_edge,4.395,5.91
