indentation_point,cavity_type,indentation_set,force_meas_N,force_base_N
-Z-Y_off,M2R,center_off,4.565,6.125
+X_center,M2S,center_off,2.395,5.555
-X_center,M2S,center_off,2.395,5.555
+Y_center,M2S,center_off,2.395,5.555
-Y_center,M2S,center_off,2.395,5.555
+Z_center,M2S,center_off,2.395,5.555
-Z_center,M2S,center_off,2.395,5.555
+X+Y_edge,M2S,center_off,,
-X+Y_edge,M2S,center_off,,
+X-Y_edge,M2S,center_off,,
-X-Y_edge,M2S,center_off,,
+X+Z_edge,M2S,center_off,,
-X+Z_edge,M2S,center_off,,
+X-Z_edge,M2S,center_off,,
-X-Z_edge,M2S,center_off,,
+Y+X_edge,M2S,center_off,,
-Y+X_edge,M2S,center_off,,
+Y-X_edge,M2S,center_off,,
-Y-X_edge,M2S,center_off,,
+Y+Z_edge,M2S,center_off,,
-Y+Z_edge,M2S,center_off,,
+Y-Z_edge,M2S,center_off,,
-Y-Z_edge,M2S,center_off,,
+Z+X_edge,M2S,center_off,,
-Z+X_edge,M2S,center_off,,
+Z-X_edge,M2S,center_off,,
-Z-X_edge,M2S,center_off,,
+Z+Y_edge,M2S,center_off,,
-Z+Y_edge,M2S,center_off,,
+Z-Y_edge,M2S,center_off,,
-Z-Y_edge,M2S,center_off,,
+X+Y_off,M2S,center_off,2.855,6.125
-X+Y_off,M2S,center_off,2.855,6.125
+X-Y_off,M2S,center_off,2.855,6.125
-X-Y_off,M2S,center_off,2.855,6.125
+X+Z_off,M2S,center_off,2.855,6.125
-X+Z_off,M2S,center_off,2.855,6.125
+X-Z_off,M2S,center_off,2.855,6.125
-X-Z_off,M2S,center_off,2.855,6.125
+Y+X_off,M2S,center_off,2.855,6.125
-Y+X_off,M2S,center_off,2.855,6.125
+Y-X_off,M2S,center_off,2.855,6.125
-Y-X_off,M2S,center_off,2.855,6.125
+Y+Z_off,M2S,center_off,2.855,6.125
-Y+Z_off,M2S,center_off,2.855,6.125
+Y-Z_off,M2S,center_off,2.855,6.125
-Y-Z_off,M2S,center_off,2.855,6.125
+Z+X_off,M2S,center_off,2.855,6.125
-Z+X_off,M2S,center_off,2.855,6.125
+Z-X_off,M2S,center_off,2.855,6.125
-Z-X_off,M2S,center_off,2.855,6.125
+Z+Y_off,M2S,center_off,2.855,6.125
-Z+Y_off,M2S,center_off,2.855,6.125
+Z-Y_off,M2S,center_off,2.855,6.125
-Z-Y_off,M2S,center_off,2.855,6.125
+X_center,M3,center_off,8.3,5.555
-X_center,M3,center_off,8.3,5.555
+Y_center,M3,center_off,6.555,5.555
-Y_center,M3,center_off,6.555,5.555
+Z_center,M3,center_off,8.3,5.555
-Z_center,M3,center_off,8.3,5.555
+X+Y_edge,M3,center_off,,
-X+Y_edge,M3,center_off,,
+X-Y_edge,M3,center_off,,
-X-Y_edge,M3,center_off,,
+X+Z_edge,M3,center_off,,
-X+Z_edge,M3,center_off,,
+X-Z_edge,M3,center_off,,
-X-Z_edge,M3,center_off,,
+Y+X_edge,M3,center_off,,
-Y+X_edge,M3,center_off,,
+Y-X_edge,M3,center_off,,
-Y-X_edge,M3,center_off,,
+Y+Z_edge,M3,center_off,,
-Y+Z_edge,M3,center_off,,
+Y-Z_edge,M3,center_off,,
-Y-Z_edge,M3,center_off,,
+Z+X_edge,M3,center_off,,
-Z+X_edge,M3,center_off,,
+Z-X_edge,M3,center_off,,
-Z-X_edge,M3,center_off,,
+Z+Y_edge,M3,center_off,,
-Z+Y_edge,M3,center_off,,
+Z-Y_edge,M3,center_off,,
-Z-Y_edge,M3,center_off,,
+X+Y_off,M3,center_off,8.495,6.125
-X+Y_off,M3,center_off,8.495,6.125
+X-Y_off,M3,center_off,10.1,6.125
-X-Y_off,M3,center_off,10.1,6.125
+X+Z_off,M3,center_off,8.415,6.125
-X+Z_off,M3,center_off,8.415,6.125
+X-Z_off,M3,center_off,8.415,6.125
-X-Z_off,M3,center_off,8.415,6.125
+Y+X_off,M3,center_off,4.675,6.125
-Y+X_off,M3,center_off,4.675,6.125
+Y-X_off,M3,center_off,4.675,6.125
-Y-X_off,M3,center_off,4.675,6.125
+Y+Z_off,M3,center_off,4.675,6.125
-Y+Z_off,M3,center_off,4.675,6.125
+Y-Z_off,M3,center_off,4.675,6.125
-Y-Z_off,M3,center_off,4.675,6.125
+Z+X_off,M3,center_off,8.415,6.125
-Z+X_off,M3,center_off,8.415,6.125
+Z-X_off,M3,center_off,8.415,6.125
-Z-X_off,M3,center_off,8.415,6.125
+Z+Y_off,M3,center_off,8.495,6.125
-Z+Y_off,M3,center_off,8.495,6.125
+Z-Y_off,M3,center_off,10.1,6.125
-Z-Y_off,M3,center_off,10.1,6.125
