indentation_point,cavity_type,depth_meas_mm,depth_base_mm
+X-Y_off,M2R,1.075,0.5
-X-Y_off,M2R,1.075,0.5
+X+Z_off,M2R,1.26,0.5
-X+Z_off,M2R,1.26,0.5
+X-Z_off,M2R,1.26,0.5
-X-Z_off,M2R,1.26,0.5
+Y+X_off,M2R,1.145,0.5
-Y+X_off,M2R,1.145,0.5
+Y-X_off,M2R,1.145,0.5
-Y-X_off,M2R,1.145,0.5
+Y+Z_off,M2R,1.145,0.5
-Y+Z_off,M2R,1.145,0.5
+Y-Z_off,M2R,1.145,0.5
-Y-Z_off,M2R,1.145,0.5
+Z+X_off,M2R,1.26,0.5
-Z+X_off,M2R,1.26,0.5
+Z-X_off,M2R,1.26,0.5
-Z-X_off,M2R,1.26,0.5
+Z+Y_off,M2R,1.075,0.5
-Z+Y_off,M2R,1.075,0.5
+Z-Y_off,M2R,1.075,0.5
-Z-Y_off,M2R,1.075,0.5
+X_center,M2S,2.565,0.5
-X_center,M2S,2.565,0.5
+Y_center,M2S,2.565,0.5
-Y_center,M2S,2.565,0.5
+Z_center,M2S,2.565,0.5
-Z_center,M2S,2.565,0.5
+X+Y_edge,M2S,1.75,0.5
-X+Y_edge,M2S,1.75,0.5
+X-Y_edge,M2S,1.75,0.5
-X-Y_edge,M2S,1.75,0.5
+X+Z_edge,M2S,1.75,0.5
-X+Z_edge,M2S,1.75,0.5
+X-Z_edge,M2S,1.75,0.5
-X-Z_edge,M2S,1.75,0.5
+Y+X_edge,M2S,1.75,0.5
-Y+X_edge,M2S,1.75,0.5
+Y-X_edge,M2S,1.75,0.5
-Y-X_edge,M2S,1.75,0.5
+Y+Z_edge,M2S,1.75,0.5
-Y+Z_edge,M2S,1.75,0.5
+Y-Z_edge,M2S,1.75,0.5
-Y-Z_edge,M2S,1.75,0.5
+Z+X_edge,M2S,1.75,0.5
-Z+X_edge,M2S,1.75,0.5
+Z-X_edge,M2S,1.75,0.5
-Z-X_edge,M2S,1.75,0.5
+Z+Y_edge,M2S,1.75,0.5
-Z+Y_edge,M2S,1.75,0.5
+Z-Y_edge,M2S,1.75,0.5
-Z-Y_edge,M2S,1.75,0.5
+X+Y_off,M2S,2.565,0.5
-X+Y_off,M2S,2.565,0.5
+X-Y_off,M2S,2.565,0.5
-X-Y_off,M2S,2.565,0.5
+X+Z_off,M2S,2.565,0.5
-X+Z_off,M2S,2.565,0.5
+X-Z_off,M2S,2.565,0.5
-X-Z_off,M2S,2.565,0.5
+Y+X_off,M2S,2.565,0.5
-Y+X_off,M2S,2.565,0.5
+Y-X_off,M2S,2.565,0.5
-Y-X_off,M2S,2.565,0.5
+Y+Z_off,M2S,2.565,0.5
-Y+Z_off,M2S,2.565,0.5
+Y-Z_off,M2S,2.565,0.5
-Y-Z_off,M2S,2.565,0.5
