indentation_point,baseline_type,force_N,deformation_mm
+X_center,B0,6.265,0.65
-X_center,B0,6.265,0.65
+Y_center,B0,6.265,0.65
-Y_center,B0,6.265,0.65
+Z_center,B0,6.265,0.65
-Z_center,B0,6.265,0.65
+X+Y_edge,B0,6.265,0.65
-X+Y_edge,B0,6.265,0.65
+X-Y_edge,B0,6.265,0.65
-X-Y_edge,B0,6.265,0.65
+X+Z_edge,B0,6.265,0.65
-X+Z_edge,B0,6.265,0.65
+X-Z_edge,B0,6.265,0.65
-X-Z_edge,B0,6.265,0.65
+Y+X_edge,B0,6.265,0.65
-Y+X_edge,B0,6.265,0.65
+Y-X_edge,B0,6.265,0.65
-Y-X_edge,B0,6.265,0.65
+Y+Z_edge,B0,6.265,0.65
-Y+Z_edge,B0,6.265,0.65
+Y-Z_edge,B0,6.265,0.65
-Y-Z_edge,B0,6.265,0.65
+Z+X_edge,B0,6.265,0.65
-Z+X_edge,B0,6.265,0.65
+Z-X_edge,B0,6.265,0.65
-Z-X_edge,B0,6.265,0.65
+Z+Y_edge,B0,6.265,0.65
-Z+Y_edge,B0,6.265,0.65
+Z-Y_edge,B0,6.265,0.65
-Z-Y_edge,B0,6.265,0.65
+X+Y_off,B0,6.76,0.65
-X+Y_off,B0,6.76,0.65
+X-Y_off,B0,6.76,0.65
-X-Y_off,B0,6.76,0.65
+X+Z_off,B0,6.76,0.65
-X+Z_off,B0,6.76,0.65
+X-Z_off,B0,6.76,0.65
-X-Z_off,B0,6.76,0.65
+Y+X_off,B0,6.76,0.65
-Y+X_off,B0,6.76,0.65
+Y-X_off,B0,6.76,0.65
-Y-X_off,B0,6.76,0.65
+Y+Z_off,B0,6.76,0.65
-Y+Z_off,B0,6.76,0.65
+Y-Z_off,B0,6.76,0.65
-Y-Z_off,B0,6.76,0.65
+Z+X_off,B0,6.76,0.65
-Z+X_off,B0,6.76,0.65
+Z-X_off,B0,6.76,0.65
-Z-X_off,B0,6.76,0.65
+Z+Y_off,B0,6.76,0.65
-Z+Y_off,B0,6.76,0.65
+Z-Y_off,B0,6.76,0.65
-Z-Y_off,B0,6.76,0.65
+X_center,B1,3.55,0.65
-X_center,B1,3.55,0.65
+Y_center,B1,3.55,0.65
-Y_center,B1,3.55,0.65
+Z_center,B1,3.55,0.65
-Z_center,B1,3.55,0.65
+X+Y_edge,B1,4.1,0.65
-X+Y_edge,B1,4.1,0.65
+X-Y_edge,B1,4.1,0.65
