indentation_point,baseline_type,force_N,deformation_mm
-X-Y_edge,B1,4.1,0.65
+X+Z_edge,B1,4.1,0.65
-X+Z_edge,B1,4.1,0.65
+X-Z_edge,B1,4.1,0.65
-X-Z_edge,B1,4.1,0.65
+Y+X_edge,B1,4.1,0.65
-Y+X_edge,B1,4.1,0.65
+Y-X_edge,B1,4.1,0.65
-Y-X_edge,B1,4.1,0.65
+Y+Z_edge,B1,4.1,0.65
-Y+Z_edge,B1,4.1,0.65
+Y-Z_edge,B1,4.1,0.65
-Y-Z_edge,B1,4.1,0.65
+Z+X_edge,B1,4.1,0.65
-Z+X_edge,B1,4.1,0.65
+Z-X_edge,B1,4.1,0.65
-Z-X_edge,B1,4.1,0.65
+Z+Y_edge,B1,4.1,0.65
-Z+Y_edge,B1,4.1,0.65
+Z-Y_edge,B1,4.1,0.65
-Z-Y_edge,B1,4.1,0.65
+X+Y_off,B1,4.305,0.65
-X+Y_off,B1,4.305,0.65
+X-Y_off,B1,4.305,0.65
-X-Y_off,B1,4.305,0.65
+X+Z_off,B1,4.305,0.65
-X+Z_off,B1,4.305,0.65
+X-Z_off,B1,4.305,0.65
-X-Z_off,B1,4.305,0.65
+Y+X_off,B1,4.305,0.65
-Y+X_off,B1,4.305,0.65
+Y-X_off,B1,4.305,0.65
-Y-X_off,B1,4.305,0.65
+Y+Z_off,B1,4.305,0.65
-Y+Z_off,B1,4.305,0.65
+Y-Z_off,B1,4.305,0.65
-Y-Z_off,B1,4.305,0.65
+Z+X_off,B1,4.305,0.65
-Z+X_off,B1,4.305,0.65
+Z-X_off,B1,4.305,0.65
-Z-X_off,B1,4.305,0.65
+Z+Y_off,B1,4.305,0.65
-Z+Y_off,B1,4.305,0.65
+Z-Y_off,B1,4.305,0.65
-Z-Y_off,B1,4.305,0.65
+X_center,B2R,2.81,0.65
-X_center,B2R,2.81,0.65
+Y_center,B2R,2.295,0.65
-Y_center,B2R,2.295,0.65
+Z_center,B2R,2.81,0.65
-Z_center,B2R,2.81,0.65
+X+Y_edge,B2R,2.91,0.65
-X+Y_edge,B2R,2.91,0.65
+X-Y_edge,B2R,2.91,0.65
-X-Y_edge,B2R,2.91,0.65
+X+Z_edge,B2R,2.855,0.65
-X+Z_edge,B2R,2.855,0.65
+X-Z_edge,B2R,2.855,0.65
-X-Z_edge,B2R,2.855,0.65
+Y+X_edge,B2R,2.48,0.65
-Y+X_edge,B2R,2.48,0.65
+Y-X_edge,B2R,2.48,0.65
-Y-X_edge,B2R,2.48,0.65
+Y+Z_edge,B2R,2.48,0.65
-Y+Z_edge,B2R,2.48,0.65
+Y-Z_edge,B2R,2.48,0.65
-Y-Z_edge,B2R,2.48,0.65
+Z+X_edge,B2R,2.855,0.65
-Z+X_edge,B2R,2.855,0.65
+Z-X_edge,B2R,2.855,0.65
-Z-X_edge,B2R,2.855,0.65
+Z+Y_edge,B2R,2.91,0.65
-Z+Y_edge,B2R,2.91,0.65
+Z-Y_edge,B2R,2.91,0.65
-Z-Y_edge,B2R,2.91,0.65
+X+Y_off,B2R,3.15,0.65
-X+Y_off,B2R,3.15,0.65
+X-Y_off,B2R,3.15,0.65
-X-Y_off,B2R,3.15,0.65
+X+Z_off,B2R,2.88,0.65
-X+Z_off,B2R,2.88,0.65
+X-Z_off,B2R,2.88,0.65
-X-Z_off,B2R,2.88,0.65
+Y+X_off,B2R,2.71,0.65
-Y+X_off,B2R,2.71,0.65
+Y-X_off,B2R,2.71,0.65
-Y-X_off,B2R,2.71,0.65
+Y+Z_off,B2R,2.71,0.65
-Y+Z_off,B2R,2.71,0.65
+Y-Z_off,B2R,2.71,0.65
-Y-Z_off,B2R,2.71,0.65
+Z+X_off,B2R,2.88,0.65
-Z+X_off,B2R,2.88,0.65
+Z-X_off,B2R,2.88,0.65
-Z-X_off,B2R,2.88,0.65
+Z+Y_off,B2R,3.15,0.65
-Z+Y_off,B2R,3.15,0.65
+Z-Y_off,B2R,3.15,0.65
-Z-Y_off,B2R,3.15,0.65
+X_center,B2S,1.755,0.65
-X_center,B2S,1.755,0.65
+Y_center,B2S,1.755,0.65
-Y_center,B2S,1.755,0.65
+Z_center,B2S,1.755,0.65
-Z_center,B2S,1.755,0.65
+X+Y_edge,B2S,2.0,0.65
-X+Y_edge,B2S,2.0,0.65
+X-Y_edge,B2S,2.0,0.65
-X-Y_edge,B2S,2.0,0.65
+X+Z_edge,B2S,2.0,0.65
-X+Z_edge,B2S,2.0,0.65
+X-Z_edge,B2S,2.0,0.65
-X-Z_edge,B2S,2.0,0.65
+Y+X_edge,B2S,2.0,0.65
-Y+X_edge,B2S,2.0,0.65
+Y-X_edge,B2S,2.0,0.65
-Y-X_edge,B2S,2.0,0.65
+Y+Z_edge,B2S,2.0,0.65
-Y+Z_edge,B2S,2.0,0.65
+Y-Z_edge,B2S,2.0,0.65
-Y-Z_edge,B2S,2.0,0.65
+Z+X_edge,B2S,2.0,0.65
-Z+X_edge,B2S,2.0,0.65
+Z-X_edge,B2S,2.0,0.65
-Z-X_edge,B2S,2.0,0.65
+Z+Y_edge,B2S,2.0,0.65
-Z+Y_edge,B2S,2.0,0.65
+Z-Y_edge,B2S,2.0,0.65
-Z-Y_edge,B2S,2.0,0.65
+X+Y_off,B2S,2.31,0.65
-X+Y_off,B2S,2.31,0.65
+X-Y_off,B2S,2.31,0.65
-X-Y_off,B2S,2.31,0.65
+X+Z_off,B2S,2.31,0.65
-X+Z_off,B2S,2.31,0.65
+X-Z_off,B2S,2.31,0.65
-X-Z_off,B2S,2.31,0.65
+Y+X_off,B2S,2.31,0.65
-Y+X_off,B2S,2.31,0.65
+Y-X_off,B2S,2.31,0.65
-Y-X_off,B2S,2.31,0.65
+Y+Z_off,B2S,2.31,0.65
-Y+Z_off,B2S,2.31,0.65
+Y-Z_off,B2S,2.31,0.65
-Y-Z_off,B2S,2.31,0.65
+Z+X_off,B2S,2.31,0.65
-Z+X_off,B2S,2.31,0.65
+Z-X_off,B2S,2.31,0.65
-Z-X_off,B2S,2.31,0.65
+Z+Y_off,B2S,2.31,0.65
-Z+Y_off,B2S,2.31,0.65
+Z-Y_off,B2S,2.31,0.65
-Z-Y_off,B2S,2.31,0.65
+X_center,B3,5.315,0.65
-X_center,B3,5.315,0.65
+Y_center,B3,2.095,0.225
-Y_center,B3,2.095,1.075
+Z_center,B3,5.315,0.65
-Z_center,B3,5.315,0.65
+X+Y_edge,B3,6.055,0.65
-X+Y_edge,B3,6.055,0.65
+X-Y_edge,B3,4.22,0.65
-X-Y_edge,B3,4.22,0.65
+X+Z_edge,B3,5.76,0.65
-X+Z_edge,B3,5.76,0.65
+X-Z_edge,B3,5.76,0.65
-X-Z_edge,B3,5.76,0.65
+Y+X_edge,B3,4.095,0.56
-Y+X_edge,B3,4.095,0.77
+Y-X_edge,B3,4.095,0.56
-Y-X_edge,B3,4.095,0.77
+Y+Z_edge,B3,4.095,0.56
-Y+Z_edge,B3,4.095,0.77
+Y-Z_edge,B3,4.095,0.56
-Y-Z_edge,B3,4.095,0.77
+Z+X_edge,B3,5.76,0.65
-Z+X_edge,B3,5.76,0.65
+Z-X_edge,B3,5.76,0.65
-Z-X_edge,B3,5.76,0.65
+Z+Y_edge,B3,6.055,0.65
-Z+Y_edge,B3,6.055,0.65
+Z-Y_edge,B3,4.22,0.65
-Z-Y_edge,B3,4.22,0.65
+X+Y_off,B3,6.2,0.65
-X+Y_off,B3,6.2,0.65
+X-Y_off,B3,5.185,0.65
-X-Y_off,B3,5.185,0.65
+X+Z_off,B3,6.245,0.65
-X+Z_off,B3,6.245,0.65
+X-Z_off,B3,6.245,0.65
-X-Z_off,B3,6.245,0.65
+Y+X_off,B3,3.525,0.425
-Y+X_off,B3,3.525,0.875
+Y-X_off,B3,3.525,0.425
-Y-X_off,B3,3.525,0.875
+Y+Z_off,B3,3.525,0.425
-Y+Z_off,B3,3.525,0.875
+Y-Z_off,B3,3.525,0.425
-Y-Z_off,B3,3.525,0.875
+Z+X_off,B3,6.245,0.65
-Z+X_off,B3,6.245,0.65
+Z-X_off,B3,6.245,0.65
-Z-X_off,B3,6.245,0.65
+Z+Y_off,B3,6.2,0.65
-Z+Y_off,B3,6.2,0.65
+Z-Y_off,B3,5.185,0.65
-Z-Y_off,B3,5.185,0.65
